handle,channel_type,channel_type_note,subs,total_channel_views,video_count,n_scraped,n_shorts_scraped,n_long_scraped,median_views,p25,p75,max_views,n_ueber_100k,n_ueber_480k,hit_ratio,median_to_max_ratio,uploads_pro_tag,verdict_A,subs_ge_1000,subs_ge_500,shorts_views_90d,shorts_views_90d_basis,ypp_ad_eligible,ypp_fanfund_eligible,longform_ad_eligible,watch_hours_upperbound,watch_ub_basis,retention_needed_for_4000h,mon_sponsor_button,mon_store_tab,mon_external_links,mon_affiliate_hits,off_platform_monetization,join_date,viral_video_id,viral_video_views,viral_video_upload_date,viral_date_source,days_channel_to_hit,days_since_hit,dominant_upload_hour_utc,upload_hours_utc,desc_boiler_hash,external_domains,data_quality
SabziCartoonStudio-d9c,LONG,median_dur=181s over 12 items,5770,3615237,16,16,6,10,1289,281,81994,2428683,4,2,0.125,0.0005,0.41,UNKLAR,True,True,,N/A_long_form_channel(shorts_gate_gilt_nicht),False,False,UNBESTIMMBAR(watch_hours_nicht_exponiert),293668,"sum(views*full_duration) ueber 12 videos (=100%-Retention-Obergrenze, NICHT reale Watch-Std)",0.0136,False,False,0,,False,2026-06-03,YBl6AmUoTfY,2428683,2026-07-07,rss_exact,34,5,8,2;5;7;8;9;10;21,22368bcc4179,,
Sasuraldramastory,LONG,median_dur=1780s over 24 items,20500,13452922,24,24,0,24,394387,90606,818688,1800000,17,10,0.4167,0.2191,0.267,SYSTEM,True,True,,N/A_long_form_channel(shorts_gate_gilt_nicht),False,False,UNBESTIMMBAR(watch_hours_nicht_exponiert),6324889,"sum(views*full_duration) ueber 24 videos (=100%-Retention-Obergrenze, NICHT reale Watch-Std)",0.0006,False,False,0,,False,2026-04-11,VaY5LRDVatA,1800000,,published_text:1 month ago,,,4,4;5;7,d7e52d6b8477,,viral_upload_date:only_relative_text
ShortTales-v8e,LONG,median_dur=1907s over 20 items,22800,2925904,18,20,1,19,83638,34615,237426,822561,8,1,0.0556,0.1017,0.254,UNKLAR,True,True,,N/A_long_form_channel(shorts_gate_gilt_nicht),False,False,UNBESTIMMBAR(watch_hours_nicht_exponiert),2409634,"sum(views*full_duration) ueber 18 videos (=100%-Retention-Obergrenze, NICHT reale Watch-Std)",0.0017,False,False,0,,False,2026-04-23,9Hf-2KRLdV4,822561,2026-06-28,rss_exact,66,14,15,15;16;18,260392021500,,views_missing_on_2_vids
StoryFlareAI9,LONG,median_dur=529s over 7 items,1730,2730346,10,10,0,10,57993,7813,376524,1257223,4,2,0.2,0.0461,0.27,UNKLAR,True,True,,N/A_long_form_channel(shorts_gate_gilt_nicht),False,False,UNBESTIMMBAR(watch_hours_nicht_exponiert),422619,"sum(views*full_duration) ueber 7 videos (=100%-Retention-Obergrenze, NICHT reale Watch-Std)",0.0095,False,False,0,,False,2026-06-03,pVOJmwOhofQ,1257223,2026-06-29,rss_exact,26,13,15,1;4;10;11;12;13;15,aa697101cafd,,
ToonyPitara-M,LONG,median_dur=327s over 16 items,3210,1102380,16,16,0,16,497,183,23004,830564,3,1,0.0625,0.0006,0.39,UNKLAR,True,True,,N/A_long_form_channel(shorts_gate_gilt_nicht),False,False,UNBESTIMMBAR(watch_hours_nicht_exponiert),114023,"sum(views*full_duration) ueber 16 videos (=100%-Retention-Obergrenze, NICHT reale Watch-Std)",0.0351,False,False,0,,False,2026-05-31,slWkaGQ-FB4,830564,2026-07-03,rss_exact,33,9,12,0;3;4;6;11;12;13;14,ad3ecf28293b,,
TrioHistory111,LONG,median_dur=311s over 16 items,24600,9922281,16,16,0,16,119591,22162,304437,6200000,9,3,0.1875,0.0193,1.0,SYSTEM,True,True,,N/A_long_form_channel(shorts_gate_gilt_nicht),False,False,UNBESTIMMBAR(watch_hours_nicht_exponiert),868324,"sum(views*full_duration) ueber 16 videos (=100%-Retention-Obergrenze, NICHT reale Watch-Std)",0.0046,False,False,0,,False,2026-06-25,QWA1MDLNjMc,6200000,,published_text:2 weeks ago,,,2,2;3;13;15;16;20,c6a3ab6c99db,,viral_upload_date:only_relative_text
VEGHINDISTORYTV,LONG,median_dur=315s over 30 items,6100,3252121,50,30,7,23,972,597,5882,1054665,3,2,0.04,0.0009,1.042,LOTTERIE,True,True,,N/A_long_form_channel(shorts_gate_gilt_nicht),False,False,UNBESTIMMBAR(watch_hours_nicht_exponiert),196548,"sum(views*full_duration) ueber 22 videos (=100%-Retention-Obergrenze, NICHT reale Watch-Std)",0.0204,False,False,0,,False,2026-05-25,NwUmsxGuYiQ,1054665,2026-07-09,rss_exact,45,3,2,0;1;2;3;4;8;10;12;13,5bcb8c2a72bc,,views_missing_on_8_vids; scraped_30_of_50_vids(median_on_newest)
VeggieStory2.0,LONG,median_dur=488s over 12 items,2680,1246077,13,13,0,13,777,525,35673,808627,3,1,0.0769,0.001,0.5,UNKLAR,True,True,,N/A_long_form_channel(shorts_gate_gilt_nicht),False,False,UNBESTIMMBAR(watch_hours_nicht_exponiert),187130,"sum(views*full_duration) ueber 12 videos (=100%-Retention-Obergrenze, NICHT reale Watch-Std)",0.0214,False,False,0,,False,2026-06-15,HbtLbDbTX34,808627,2026-07-07,rss_exact,22,5,14,2;13;14,8a2c746ad74d,,
VisualEuphoria-t6c,LONG,median_dur=482s over 6 items,2490,1278358,6,6,0,6,88529,23250,442365,554618,3,2,0.3333,0.1596,0.162,UNKLAR,True,True,,N/A_long_form_channel(shorts_gate_gilt_nicht),False,False,UNBESTIMMBAR(watch_hours_nicht_exponiert),148210,"sum(views*full_duration) ueber 6 videos (=100%-Retention-Obergrenze, NICHT reale Watch-Std)",0.027,False,False,0,,False,2026-05-31,cJGUw3uBxos,554618,2026-06-04,rss_exact,4,38,13,12;13,d2fce4c81dcb,,
impossibleasmr-q7b,LONG,median_dur=299s over 7 items,1880,842927,7,7,3,4,357,156,121235,603634,2,1,0.1429,0.0006,0.119,UNKLAR,True,True,,N/A_long_form_channel(shorts_gate_gilt_nicht),False,False,UNBESTIMMBAR(watch_hours_nicht_exponiert),30946,"sum(views*full_duration) ueber 7 videos (=100%-Retention-Obergrenze, NICHT reale Watch-Std)",0.1293,False,False,0,,False,2026-05-13,BHIuKaAZl6g,603634,2026-07-06,rss_exact,54,6,13,9;12;13;16,4dc8f00e3483,,
neonloom_yt,LONG,median_dur=308s over 3 items,3300,1353068,3,3,0,3,432919,292410,646195,859471,3,1,0.3333,0.5037,0.077,SYSTEM,True,True,,N/A_long_form_channel(shorts_gate_gilt_nicht),False,False,UNBESTIMMBAR(watch_hours_nicht_exponiert),125470,"sum(views*full_duration) ueber 3 videos (=100%-Retention-Obergrenze, NICHT reale Watch-Std)",0.0319,False,False,0,,False,2026-05-31,yJMZjaCMFHo,859471,2026-07-09,rss_exact,39,3,12,12,74a023155f99,,
thedramatalesx,SHORTS,no_duration_overlays=pure_shorts,46700,14189050,46,46,46,0,26130,22338,44116,96267,0,0,0.0,0.2714,0.517,UNKLAR,True,True,14189050,pure_shorts=exact_total_views,True,True,N/A_shorts_channel,,keine_dur+views_paare,,False,False,1,,True,2026-04-13,,,,,,,13,2;3;4;6;7;12;13;14,56769e6460d9,facebook.com,views_missing_on_31_vids; no_480k_in_scraped(maybe_older_than_scraped)
