start,end,speed_mean,speed_max,jitter_mean,jitter_p90,rot_abs_mean,zoom,sharp_mean,sharp_min,bright,contrast,framediff,ntrack
204.0,205.0,12.33,51.56,9.24,15.805,0.265,1.2593,7.7,3.8,132.7,36.5,5.49,59
205.0,206.0,10.5,16.69,3.279,7.959,0.312,1.1725,4.6,3.2,127.0,32.4,1.44,96
206.0,207.0,10.77,12.63,0.859,1.332,0.255,1.179,12.8,3.6,130.3,34.7,2.98,30
207.0,208.0,8.61,9.6,0.447,0.66,0.155,1.3712,42.8,13.1,124.6,46.0,4.76,36
208.0,209.0,7.49,10.68,1.12,1.956,0.081,1.4675,38.8,14.6,121.5,58.5,6.27,42
209.0,210.0,4.39,7.1,1.038,1.753,0.162,1.3417,17.9,7.5,126.9,63.3,3.51,47
210.0,211.0,16.48,24.92,3.167,5.476,0.388,1.3797,20.9,8.6,99.8,67.4,10.22,37
211.0,212.0,7.29,17.97,1.114,2.26,0.113,1.1479,107.6,21.1,150.6,36.5,7.17,106
212.0,213.0,2.3,4.73,0.57,0.931,0.045,1.2369,128.8,91.9,124.5,40.2,3.89,178
213.0,214.0,2.57,3.62,0.63,1.203,0.052,1.2853,167.2,145.5,113.9,46.7,5.3,253
214.0,215.0,2.21,5.16,0.919,1.803,0.064,1.2697,214.7,171.8,121.2,55.4,8.83,265
215.0,216.0,1.63,2.4,0.442,0.707,0.038,1.176,185.0,155.7,140.2,47.6,9.86,310
216.0,217.0,2.14,4.21,0.452,0.916,0.03,1.1822,143.4,115.5,128.3,45.7,7.18,270
217.0,218.0,7.43,9.77,0.533,0.938,0.064,1.2641,73.1,16.4,126.9,38.6,5.17,111
218.0,219.0,7.37,15.85,1.558,4.476,0.179,1.1677,9.9,5.3,143.7,30.5,1.07,36
219.0,220.0,3.78,14.34,3.049,5.911,0.181,1.0498,6.9,3.7,147.3,29.3,0.71,9
220.0,221.0,10.52,13.65,1.921,3.278,0.51,1.0023,20.3,7.5,146.8,34.1,1.33,30
221.0,222.0,9.72,12.54,2.327,4.016,0.325,0.8139,35.1,18.3,137.0,47.0,3.26,60
222.0,223.0,7.93,10.09,0.871,1.609,0.137,0.8185,128.4,23.1,130.8,51.1,5.77,105
223.0,224.0,10.78,13.0,0.917,1.889,0.208,0.9647,125.2,33.1,131.0,51.4,8.06,85
224.0,225.0,10.18,14.73,3.721,7.877,0.339,0.983,101.6,40.5,145.1,53.5,5.96,67
225.0,226.0,7.35,15.5,1.119,1.911,0.213,0.8583,270.4,190.1,134.2,50.8,7.28,230
