frame,t,dx,dy,rot_deg,scale,ntrack,framediff,sharpness,brightness,contrast
96,3.208,-5.871,-0.669,-0.1583,1.0023,210,5.702,105.32,131.41,45.2
97,3.241,-5.998,-0.632,-0.1416,1.0025,204,6.014,98.88,131.87,45.52
98,3.275,-6.393,-0.785,-0.1847,1.0027,233,5.732,102.13,131.95,45.46
99,3.308,-6.041,-0.612,-0.1581,1.0023,236,5.615,115.99,131.96,45.38
100,3.342,-6.141,-0.631,-0.1479,1.0025,242,5.62,126.0,131.99,45.27
101,3.375,-6.218,-0.736,-0.1511,1.0027,232,5.663,126.99,132.12,45.31
102,3.408,-6.315,-0.511,-0.1604,1.0025,231,5.724,149.99,132.49,45.54
103,3.442,-6.227,-0.189,-0.1639,1.0021,233,5.522,169.8,132.67,45.62
104,3.475,-6.21,-0.259,-0.1597,1.0022,222,5.541,165.52,132.8,45.73
105,3.509,-6.372,-0.779,-0.1604,1.0033,217,5.53,163.82,132.93,45.95
106,3.542,-6.473,-0.502,-0.1632,1.0027,239,5.599,172.46,133.03,46.2
107,3.575,-6.437,-1.048,-0.1574,1.0038,219,5.648,183.48,133.14,46.57
108,3.609,-6.419,-0.618,-0.1597,1.0032,221,5.657,184.24,133.02,46.91
109,3.642,-7.15,-1.235,-0.2225,1.0049,226,5.565,172.4,133.11,47.18
110,3.676,-6.874,-0.76,-0.2,1.0043,210,5.419,154.84,133.05,47.33
111,3.709,-6.603,-0.773,-0.1637,1.0044,218,5.189,134.54,133.27,47.43
112,3.743,-7.343,-0.849,-0.247,1.0048,194,5.221,107.91,133.59,47.54
113,3.776,-6.74,-0.182,-0.185,1.0037,210,5.11,96.81,134.01,47.67
114,3.809,-6.686,-0.047,-0.1811,1.0033,269,5.201,88.75,134.57,47.74
115,3.843,-7.007,-0.186,-0.2083,1.0036,237,5.202,79.01,135.13,47.74
116,3.876,-7.027,0.212,-0.202,1.0033,248,5.266,74.33,135.74,47.66
117,3.91,-6.881,0.339,-0.2155,1.0027,254,5.248,60.89,136.42,47.55
118,3.943,-6.825,0.498,-0.2013,1.0025,212,5.094,46.23,137.17,47.51
119,3.976,-6.997,0.307,-0.1841,1.0029,250,5.323,41.93,138.14,47.56
120,4.01,-6.801,0.8,-0.1908,1.0019,222,5.402,46.66,138.63,47.82
121,4.043,-7.099,-0.016,-0.162,1.0033,183,6.3,57.41,139.04,48.27
122,4.077,-7.01,0.106,-0.1519,1.0024,223,5.6,55.46,139.9,48.17
123,4.11,-7.083,0.857,-0.1976,1.0016,236,5.771,55.39,140.51,48.04
124,4.144,-7.261,0.817,-0.2252,1.0014,195,6.057,56.01,140.59,47.95
125,4.177,-7.014,0.716,-0.2046,1.0015,200,5.967,56.43,140.99,47.81
126,4.21,-7.261,0.392,-0.1954,1.0021,243,6.205,60.02,141.2,47.59
127,4.244,-6.297,0.857,-0.1619,1.0005,203,6.349,63.33,141.15,47.38
128,4.277,-7.199,1.133,-0.2129,1.0011,205,6.228,70.2,141.3,47.08
129,4.311,-7.399,1.243,-0.2405,1.0009,195,6.173,71.09,141.64,46.71
130,4.344,-7.404,1.17,-0.2265,1.001,153,6.318,67.25,141.66,46.2
131,4.377,-6.908,1.612,-0.2318,0.9999,178,6.157,64.56,141.83,45.73
132,4.411,-6.927,1.471,-0.2203,0.9999,203,6.02,61.73,141.99,45.36
133,4.444,-6.801,1.563,-0.227,0.9997,210,6.061,64.11,142.0,44.81
134,4.478,-6.299,1.478,-0.1977,0.9994,263,5.64,66.25,142.48,44.37
135,4.511,-4.964,0.559,-0.0504,0.9989,224,5.596,75.64,142.9,43.93
136,4.545,-6.063,1.146,-0.1637,0.9995,254,5.659,81.78,143.37,43.49
137,4.578,-6.74,1.507,-0.235,0.9996,243,5.762,88.94,143.42,43.25
